Artists:Mobile-friendly?:Flash:https?:audio:video:booking?:twitter feed:Newsletter:Newsletter
Adam Rafferty:no:no:yes:no:no:yes:no:yes:with a disruptive popup
Alex Anderson:yes:no:no:no:no:no:no:yes:bandzoogle.com
Alex de Grassi:yes:no:yes:yes:yes:no:no:no:
Andrew White:no:no:no:yes:no:yes:no:no:
Andy McKee:yes:no:no:no:yes:yes:no:yes:TBD
Billy McLaughlin:yes:no:yes:no:yes:yes:yes:yes:constant contact
Calum Graham:yes:no:no:yes:yes:yes:yes:yes:bandzoogle.com
Clive Carroll:yes:no:yes:no:yes:yes:no:yes:mailchimp
Craig D'Andrea:yes:no:yes:no:yes:yes:no:yes:squarespace
Eva Atmatzidou:no:no:yes:no:yes:yes:no:no:
Ewan Dobson:yes:no:yes:no:yes:no:no:no:
Gareth Pearson:no:no:yes:no:yes:yes:no:yes:WIX
Happy Traum:no:no:no:no:yes:no:no:no:
Ian Ethan Case:no:no:yes:yes:yes:yes:no:yes:MailChimp
Janet Feder:yes:no:yes:yes:no:yes:yes:no:
Jimmy Wahlsteen:yes:no:yes:no:no:yes:no:no:
Jon Gomm:no:no:yes:yes:yes:yes:no:yes:bandzoogle.com
Kaki King:yes:no:yes:yes:yes:yes:no:yes:
Kelly Valleau:no:no:yes:no:yes:no:no:no:
Kevin Horrigan:yes:no:yes:no:yes:yes:no:no:
Leo Kottke:no:no:yes:no:no:yes:no:no:
Luca Stricagnoli:yes:no:yes:yes:yes:yes:no:no:
Lucas Michailidis:yes:no:yes:yes:yes:no:no:yes:MailChimp 
Masaaki Kishibe:no:yes:yes:yes:yes:no:no:no:
Michael Chapdelaine:no:no:yes:yes:yes:yes:no:no:
Michael Gulezian:no:yes:no:yes:yes:yes:no:yes:manual from Michael
Mike Dawes:no:no:yes:yes:yes:yes:no:yes:
Muriel Anderson:yes:no:yes:yes:yes:yes:no:yes:
Peppino D’Agostino:yes:no:yes:yes:yes:yes:no:yes:mailchimp
Peter Ciluzzi:no:no:yes:yes:yes:yes:no:no:
Peter Finger:no:no:yes:no:yes:yes:no:no:
Pierre Bensusan:no:no:no:yes:yes:yes:no:no:
Pino Forastiere:yes:no:yes:no:yes:yes:no:no:
Ray Montford:no:no:yes:no:yes:yes:yes:yes:MailChimp
Spencer Elliott:yes:no:yes:no:yes:no:no:no:
Sungha Jung:no:no:yes:no:yes:no:no:no:
Thomas Leeb:yes:no:yes:yes:yes:yes:no:no:
Tim Sparks:no:yes:yes:yes:yes:yes:no:no:
Tommy Emmanuel:yes:no:yes:no:yes:no:no:yes:a fan club
Trevor Gordon Hall:yes:yes:yes:no:yes:yes:no:no:
Vicki Genfan:no:no:yes:yes:yes:yes:no:yes:mail-dog.com
